,year_mon_day,hour,wind_dir_avg_10,wind_speed_h_avg,wind_speed_avg_10,air_pressure,humidity,full_datetime,capacity,volume,percentage,emission,emissionfactor,correct_days,date,month,week_number,max_capacity,log_volume,ratio_VC,prijs_excl_belastingen
2017-01-03 13:00:00,20170103,13,249.03774290195784,72.33333333333333,73.0,10213.578947368422,84.07692307692308,2017-01-03-14,848045,848045,0.9846140146255492,0,0,2017-01-03-14,2017-01-03,2017-01,1,861296.9015300004,13.650690158585837,0.9846140146255492,0.035
2017-01-03 14:00:00,20170103,14,250.70177876586524,73.33333333333333,73.33333333333333,10209.78947368421,84.88461538461539,2017-01-03-15,847319,847319,0.9837669730186462,0,0,2017-01-03-15,2017-01-03,2017-01,1,861300.5144907827,13.649833706298393,0.9837669730186462,0.0351
2017-01-03 15:00:00,20170103,15,251.35443323832527,73.66666666666667,73.0,10205.473684210529,85.57692307692308,2017-01-03-16,841162,841162,0.9766209721565248,0,0,2017-01-03-16,2017-01-03,2017-01,1,861298.3173426932,13.642540737059681,0.9766209721565248,0.0366
2017-01-03 16:00:00,20170103,16,252.71862789388257,74.33333333333333,73.33333333333333,10200.315789473683,86.61538461538461,2017-01-03-17,847393,847393,0.9838529825210572,0,0,2017-01-03-17,2017-01-03,2017-01,1,861300.4331486726,13.649921036668056,0.9838529825210572,0.04
2017-01-03 17:00:00,20170103,17,253.6912778761068,75.33333333333333,74.0,10197.157894736842,87.0,2017-01-03-18,851267,851267,0.9883530139923096,0,0,2017-01-03-18,2017-01-03,2017-01,1,861298.5319500667,13.654482281596747,0.9883530139923097,0.0468
2017-01-03 18:00:00,20170103,18,253.33302157966733,74.33333333333333,75.0,10191.842105263158,87.07692307692308,2017-01-03-19,854099,854099,0.9916380047798156,0,0,2017-01-03-19,2017-01-03,2017-01,1,861301.1964881732,13.657803561934239,0.9916380047798156,0.052
2017-01-03 19:00:00,20170103,19,255.7667720310136,75.66666666666667,77.0,10185.894736842103,87.1923076923077,2017-01-03-20,860572,860572,0.9991559982299804,0,0,2017-01-03-20,2017-01-03,2017-01,1,861298.9378280429,13.665353725434102,0.9991559982299804,0.0497
2017-01-03 20:00:00,20170103,20,259.7409544319152,77.33333333333333,77.66666666666667,10180.947368421052,87.46153846153847,2017-01-03-21,860877,860877,0.9995089769363404,0,0,2017-01-03-21,2017-01-03,2017-01,1,861299.9181245272,13.665708077667412,0.9995089769363404,0.0399
2017-01-03 21:00:00,20170103,21,262.0734220278278,74.66666666666667,74.66666666666667,10173.842105263158,88.34615384615384,2017-01-03-22,859738,859738,0.9981870055198668,0,0,2017-01-03-22,2017-01-03,2017-01,1,861299.5312959809,13.664384133795682,0.9981870055198668,0.0349
2017-01-03 22:00:00,20170103,22,265.7349397727356,76.66666666666667,75.66666666666667,10168.842105263158,89.11538461538461,2017-01-03-23,859533,859533,0.9979479908943176,0,0,2017-01-03-23,2017-01-03,2017-01,1,861300.3962558449,13.664145660905138,0.9979479908943176,0.0356
2017-01-03 23:00:00,20170103,23,267.7968037902349,77.0,79.33333333333333,10162.368421052632,89.38461538461539,2017-01-03-24,859689,859689,0.9981300234794616,0,0,2017-01-03-24,2017-01-03,2017-01,1,861299.6100479385,13.664327138130245,0.9981300234794616,0.0326
2017-01-04 00:00:00,20170104,0,270.1551975398957,77.33333333333333,76.33333333333333,10155.947368421052,89.26923076923077,2017-01-04-01,859588,859588,0.9980130195617676,0,0,2017-01-04-01,2017-01-04,2017-01,1,861299.3850295153,13.66420964701901,0.9980130195617676,0.0449
2017-01-04 01:00:00,20170104,1,275.76727558772745,78.0,77.66666666666667,10152.0,89.07692307692308,2017-01-04-02,858542,858542,0.9967979788780212,0,0,2017-01-04-02,2017-01-04,2017-01,1,861299.9004736749,13.662992045427014,0.9967979788780212,0.0302
2017-01-04 02:00:00,20170104,2,281.9837973209636,77.66666666666667,77.0,10148.736842105263,88.8076923076923,2017-01-04-03,859260,859260,0.9976279735565186,0,0,2017-01-04-03,2017-01-04,2017-01,1,861303.0335714823,13.663827996492227,0.9976279735565187,0.0281
2017-01-04 03:00:00,20170104,3,289.3275570293739,78.0,74.33333333333333,10145.421052631578,87.15384615384616,2017-01-04-04,861139,861139,0.9998130202293396,0,0,2017-01-04-04,2017-01-04,2017-01,1,861300.045685012,13.666012371817672,0.9998130202293396,0.0269
2017-01-04 04:00:00,20170104,4,292.3458413594008,73.0,73.33333333333333,10143.473684210529,84.07692307692308,2017-01-04-05,861300,861300,1.0,0,0,2017-01-04-05,2017-01-04,2017-01,1,861300.0,13.666199315812236,1.0,0.027
2017-01-04 05:00:00,20170104,5,296.9454589776882,70.66666666666667,67.33333333333333,10143.21052631579,82.61538461538461,2017-01-04-06,861300,861300,1.0,0,0,2017-01-04-06,2017-01-04,2017-01,1,861300.0,13.666199315812236,1.0,0.028
2017-01-04 06:00:00,20170104,6,301.9630925476733,69.66666666666667,71.66666666666667,10145.105263157897,79.11538461538461,2017-01-04-07,861300,861300,1.0,0,0,2017-01-04-07,2017-01-04,2017-01,1,861300.0,13.666199315812236,1.0,0.0299
2017-01-04 07:00:00,20170104,7,306.1223077481198,69.66666666666667,71.33333333333333,10147.157894736842,77.8076923076923,2017-01-04-08,861300,861300,1.0,0,0,2017-01-04-08,2017-01-04,2017-01,1,861300.0,13.666199315812236,1.0,0.0321
2017-01-04 08:00:00,20170104,8,306.7691695107446,72.0,71.33333333333333,10152.368421052632,78.11538461538461,2017-01-04-09,861300,861300,1.0,0,0,2017-01-04-09,2017-01-04,2017-01,1,861300.0,13.666199315812236,1.0,0.0344
2017-01-04 09:00:00,20170104,9,306.62191583143004,73.33333333333333,79.66666666666667,10157.105263157897,77.88461538461539,2017-01-04-10,861300,861300,1.0,0,0,2017-01-04-10,2017-01-04,2017-01,1,861300.0,13.666199315812236,1.0,0.0351
2017-01-04 10:00:00,20170104,10,311.3123564290509,77.33333333333333,78.66666666666667,10157.157894736842,75.03846153846153,2017-01-04-11,861300,861300,1.0,0,0,2017-01-04-11,2017-01-04,2017-01,1,861300.0,13.666199315812236,1.0,0.0408
2017-01-04 11:00:00,20170104,11,317.3033301554018,82.33333333333333,85.33333333333333,10158.21052631579,74.8076923076923,2017-01-04-12,861300,861300,1.0,0,0,2017-01-04-12,2017-01-04,2017-01,1,861300.0,13.666199315812236,1.0,0.0418
2017-01-04 12:00:00,20170104,12,318.7101612452183,84.33333333333333,84.0,10159.631578947368,74.6923076923077,2017-01-04-13,861300,861300,1.0,0,0,2017-01-04-13,2017-01-04,2017-01,1,861300.0,13.666199315812236,1.0,0.0428
2017-01-04 13:00:00,20170104,13,319.0658107072596,82.66666666666667,80.33333333333333,10161.526315789471,74.3076923076923,2017-01-04-14,861300,861300,1.0,0,0,2017-01-04-14,2017-01-04,2017-01,1,861300.0,13.666199315812236,1.0,0.0361
2017-01-04 14:00:00,20170104,14,319.0203182338302,76.33333333333333,74.66666666666667,10167.842105263158,76.0,2017-01-04-15,861300,861300,1.0,0,0,2017-01-04-15,2017-01-04,2017-01,1,861300.0,13.666199315812236,1.0,0.0293
2017-01-04 15:00:00,20170104,15,319.5014037746682,68.33333333333333,69.66666666666667,10174.894736842103,78.61538461538461,2017-01-04-16,861300,861300,1.0,0,0,2017-01-04-16,2017-01-04,2017-01,1,861300.0,13.666199315812236,1.0,0.0263
2017-01-04 16:00:00,20170104,16,320.6132827081541,63.0,60.0,10181.578947368422,79.8076923076923,2017-01-04-17,861300,861300,1.0,0,0,2017-01-04-17,2017-01-04,2017-01,1,861300.0,13.666199315812236,1.0,0.027
2017-01-04 17:00:00,20170104,17,322.6955692912135,60.0,57.333333333333336,10188.842105263158,79.0,2017-01-04-18,860668,860668,0.9992650151252748,0,0,2017-01-04-18,2017-01-04,2017-01,1,861301.043239366,13.665465272793625,0.9992650151252748,0.03
2017-01-04 18:00:00,20170104,18,326.1910436456016,53.333333333333336,52.66666666666666,10199.684210526317,78.38461538461539,2017-01-04-19,859415,859415,0.9978139996528624,0,0,2017-01-04-19,2017-01-04,2017-01,1,861297.7972838513,13.66400836778994,0.9978139996528624,0.035
2017-01-04 19:00:00,20170104,19,325.3252743844621,49.0,43.66666666666666,10207.157894736842,78.38461538461539,2017-01-04-20,857900,857900,0.9960539937019348,0,0,2017-01-04-20,2017-01-04,2017-01,1,861298.6900554742,13.662243987197398,0.9960539937019348,0.0391
2017-01-04 20:00:00,20170104,20,322.6614675657584,40.0,39.0,10213.894736842103,79.23076923076923,2017-01-04-21,827384,827384,0.9606239795684814,0,0,2017-01-04-21,2017-01-04,2017-01,1,861298.5076342424,13.626025403766072,0.9606239795684814,0.0396
2017-01-04 21:00:00,20170104,21,313.52850497870656,35.333333333333336,33.333333333333336,10221.368421052632,79.96153846153847,2017-01-04-22,846031,846031,0.9822710156440736,0,0,2017-01-04-22,2017-01-04,2017-01,1,861300.9918095352,13.648312462932113,0.9822710156440736,0.039
2017-01-04 22:00:00,20170104,22,312.4911949765169,34.666666666666664,32.0,10228.578947368422,82.07692307692308,2017-01-04-23,847945,847945,0.9844939708709716,0,0,2017-01-04-23,2017-01-04,2017-01,1,861300.348289418,13.650572233501148,0.9844939708709716,0.038
2017-01-04 23:00:00,20170104,23,320.35681952369293,31.724137931034484,32.758620689655174,10234.5,82.84,2017-01-04-24,843381,843381,0.9791960120201112,0,0,2017-01-04-24,2017-01-04,2017-01,1,861299.4636896849,13.64517527788046,0.9791960120201112,0.0407
2017-01-05 00:00:00,20170105,0,317.330584997226,33.666666666666664,32.666666666666664,10239.368421052632,84.3076923076923,2017-01-05-01,844958,844958,0.981024980545044,0,0,2017-01-05-01,2017-01-05,2017-01,1,861301.2071624853,13.647043384452084,0.981024980545044,0.032
